t,roll,pitch,true_hdg,acc_g,naive_hdg,module_hdg,stab_hdg,mag_trust
2.4,20.03,-1.89,89.05,0.972,85.46,88.43,89.89,1.0
2.45,20.83,-1.83,89.11,0.973,85.55,88.46,89.85,1.0
2.5,21.53,-1.73,89.19,0.973,85.66,88.51,89.81,1.0
2.55,22.13,-1.61,89.29,0.973,85.8,88.59,89.78,1.0
2.6,22.62,-1.45,89.4,0.974,85.97,88.67,89.74,1.0
2.65,22.99,-1.26,89.53,0.975,86.16,88.78,89.7,1.0
2.7,23.25,-1.05,89.68,0.975,86.38,88.9,89.66,1.0
2.75,23.39,-0.82,89.83,0.976,86.63,89.03,89.63,1.0
2.8,23.4,-0.57,89.99,0.977,86.91,89.18,89.6,1.0
2.85,23.27,-0.3,90.16,0.978,87.21,89.33,89.57,1.0
2.9,23.02,-0.02,90.34,0.98,87.55,89.5,89.55,1.0
2.95,22.63,0.28,90.52,0.981,87.91,89.67,89.52,1.0
3.0,22.11,0.57,90.7,0.983,88.29,89.84,89.51,1.0
3.05,21.45,0.88,90.88,0.985,88.71,90.02,89.49,1.0
3.1,20.65,1.18,91.05,0.987,89.14,90.19,89.48,1.0
3.15,19.72,1.47,91.22,0.99,89.6,90.37,89.48,1.0
3.2,18.66,1.76,91.38,0.992,90.09,90.54,89.48,1.0
3.25,17.47,2.03,91.53,0.995,90.59,90.71,89.48,1.0
3.3,16.15,2.29,91.67,0.999,91.11,90.87,89.49,1.0
3.35,14.71,2.53,91.8,1.002,91.65,91.03,89.51,1.0
3.4,13.15,2.75,91.91,1.006,92.21,91.18,89.53,1.0
3.45,11.48,2.94,92.01,1.011,92.78,91.32,89.55,1.0
3.5,9.7,3.11,92.09,1.015,93.37,91.45,89.58,1.0
3.55,7.83,3.25,92.15,1.02,93.96,91.57,89.61,1.0
3.6,5.87,3.36,92.19,1.026,94.57,91.69,89.65,1.0
3.65,3.84,3.45,92.22,1.031,95.18,91.79,89.69,1.0
3.7,1.73,3.5,92.23,1.037,95.8,91.89,89.73,1.0
3.75,-0.43,3.52,92.22,1.043,96.42,91.97,89.78,1.0
3.8,-2.64,3.51,92.19,1.05,97.05,92.05,89.83,1.0
3.85,-4.89,3.47,92.15,1.057,97.67,92.12,89.89,1.0
3.9,-7.16,3.4,92.09,1.064,98.29,92.19,89.94,1.0
3.95,-9.44,3.3,92.02,1.071,98.91,92.25,90.0,1.0
4.0,-11.71,3.18,91.94,1.078,99.52,92.31,90.06,1.0
4.05,-13.97,3.03,91.84,1.086,100.11,92.37,90.12,1.0
4.1,-16.19,2.86,91.74,1.093,100.7,92.42,91.14,1.0
4.15,-18.37,2.67,91.62,1.101,101.27,92.48,91.14,1.0
4.2,-20.49,2.46,91.5,1.108,101.82,92.53,91.15,1.0
4.25,-22.54,2.24,91.38,1.116,102.35,92.59,91.17,1.0
4.3,-24.49,2.0,91.25,1.123,102.86,92.65,91.19,1.0
4.35,-26.35,1.75,91.11,1.13,103.34,92.72,91.21,1.0
4.4,-28.09,1.5,90.98,1.137,103.8,92.79,91.24,1.0
4.45,-29.7,1.25,90.85,1.144,104.22,92.87,91.26,1.0
4.5,-31.17,0.99,90.72,1.15,104.61,92.96,91.3,1.0
4.55,-32.49,0.74,90.59,1.156,104.96,93.06,91.33,1.0
4.6,-33.65,0.49,90.47,1.161,105.27,93.16,91.37,1.0
4.65,-34.63,0.24,90.35,1.166,105.55,93.27,91.41,1.0
4.7,-35.43,0.01,90.24,1.17,105.78,93.39,91.45,1.0
4.75,-36.04,-0.21,90.14,1.173,105.96,93.52,91.5,1.0
4.8,-36.46,-0.42,90.04,1.176,106.1,93.65,91.55,1.0
4.85,-36.67,-0.62,89.95,1.178,106.19,93.8,91.6,1.0
4.9,-36.68,-0.8,89.88,1.179,106.23,93.95,91.66,1.0
4.95,-36.48,-0.96,89.81,1.179,106.21,94.1,91.71,1.0
5.0,-36.06,-1.1,89.75,1.178,106.14,94.26,91.77,1.0
5.05,-35.44,-1.22,89.7,1.176,106.01,94.43,92.79,1.0
5.1,-34.62,-1.32,89.66,1.174,105.82,94.6,92.8,1.0
5.15,-33.59,-1.41,89.62,1.17,105.56,94.77,92.82,1.0
5.2,-32.36,-1.47,89.6,1.166,105.25,94.94,92.84,1.0
5.25,-30.93,-1.51,89.58,1.16,104.86,95.11,92.86,1.0
5.3,-29.33,-1.54,89.57,1.154,104.41,95.28,92.9,1.0
5.35,-27.55,-1.54,89.57,1.147,103.89,95.44,92.94,1.0
5.4,-25.6,-1.53,89.58,1.139,103.29,95.59,92.98,1.0
5.45,-23.51,-1.49,89.59,1.13,102.62,95.74,93.03,1.0
5.5,-21.27,-1.45,89.61,1.121,101.88,95.88,93.08,1.0
5.55,-18.91,-1.38,89.63,1.111,101.07,96.0,93.14,1.0
5.6,-16.45,-1.31,89.65,1.1,100.18,96.12,94.17,1.0
5.65,-13.89,-1.22,89.68,1.089,99.22,96.22,94.18,1.0
5.7,-11.26,-1.12,89.71,1.078,98.19,96.3,94.2,1.0
5.75,-8.57,-1.01,89.74,1.066,97.09,96.37,94.22,1.0
5.8,-5.83,-0.89,89.78,1.054,95.93,96.41,94.24,1.0
5.85,-3.08,-0.77,89.81,1.042,94.71,96.44,94.28,1.0
5.9,-0.33,-0.64,89.85,1.03,93.44,96.44,94.32,1.0
5.95,2.41,-0.51,89.88,1.018,92.12,96.43,94.36,1.0
6.0,5.12,-0.38,89.92,1.006,90.77,96.39,94.4,1.0
6.05,7.78,-0.25,89.96,0.994,89.39,96.32,94.45,1.0
6.1,10.36,-0.12,89.99,0.983,87.99,96.24,94.49,1.0
6.15,12.87,0.01,90.02,0.972,86.59,96.13,94.54,1.0
6.2,15.27,0.13,90.05,0.961,85.19,95.99,94.59,1.0
6.25,17.56,0.25,90.08,0.951,83.8,95.84,94.64,1.0
6.3,19.72,0.37,90.1,0.941,82.45,95.66,94.68,1.0
6.35,21.74,0.47,90.13,0.931,81.12,95.46,94.73,1.0
6.4,23.61,0.57,90.15,0.922,79.84,95.24,94.77,1.0
6.45,25.31,0.66,90.17,0.914,78.61,95.0,94.8,1.0
6.5,26.85,0.73,90.18,0.906,77.44,94.74,94.83,1.0
6.55,28.21,0.8,90.19,0.899,76.34,94.46,94.86,1.0
6.6,29.39,0.86,90.2,0.892,75.3,94.17,94.88,1.0
6.65,30.38,0.9,90.2,0.886,74.33,93.87,94.89,1.0
6.7,31.18,0.93,90.2,0.881,73.43,93.54,94.9,1.0
6.75,31.79,0.95,90.2,0.876,72.61,93.21,94.9,1.0
6.8,32.21,0.96,90.19,0.871,71.85,92.87,94.89,1.0
6.85,32.44,0.96,90.18,0.867,71.17,92.52,94.87,1.0
6.9,32.49,0.94,90.17,0.863,70.56,92.16,94.85,1.0
6.95,32.35,0.92,90.15,0.86,70.02,91.79,94.82,1.0
7.0,32.04,0.88,90.13,0.858,69.53,91.42,94.77,1.0
7.05,31.56,0.83,90.1,0.855,69.11,91.04,94.72,1.0
7.1,30.92,0.77,90.07,0.854,68.75,90.66,94.66,1.0
7.15,30.13,0.69,90.04,0.852,68.43,90.28,93.51,1.0
7.2,29.19,0.61,90.01,0.851,68.17,89.89,93.5,1.0
7.25,28.12,0.53,89.97,0.85,67.95,89.51,93.47,1.0
7.3,26.93,0.43,89.93,0.849,67.78,89.13,93.43,1.0
7.35,25.62,0.33,89.88,0.849,67.64,88.74,93.37,1.0
7.4,24.22,0.22,89.84,0.849,67.54,88.37,92.29,1.0
7.45,22.72,0.1,89.79,0.849,67.48,87.99,92.27,1.0
7.5,21.15,-0.01,89.74,0.849,67.44,87.62,92.24,1.0
7.55,19.52,-0.13,89.69,0.85,67.44,87.26,92.19,1.0
7.6,17.83,-0.25,89.64,0.85,67.47,86.9,91.18,1.0
7.65,16.1,-0.38,89.59,0.851,67.52,86.55,91.16,1.0
7.7,14.34,-0.5,89.54,0.852,67.61,86.2,91.12,1.0
7.75,12.56,-0.61,89.5,0.854,67.72,85.87,91.07,1.0
7.8,10.78,-0.73,89.45,0.855,67.87,85.54,90.0,1.0
7.85,9.0,-0.84,89.41,0.856,68.04,85.23,89.98,1.0
7.9,7.24,-0.95,89.37,0.858,68.25,84.92,89.95,1.0
7.95,5.5,-1.04,89.33,0.86,68.48,84.63,89.9,1.0
8.0,3.8,-1.14,89.3,0.862,68.75,84.36,88.81,1.0
8.05,2.14,-1.22,89.27,0.864,69.06,84.09,88.79,1.0
8.1,0.54,-1.29,89.25,0.866,69.41,83.84,88.76,1.0
8.15,-1.0,-1.35,89.23,0.869,69.79,83.61,88.7,1.0
8.2,-2.47,-1.41,89.21,0.872,70.21,83.39,87.65,1.0
8.25,-3.86,-1.45,89.21,0.874,70.67,83.19,87.63,1.0
8.3,-5.17,-1.48,89.2,0.878,71.17,83.01,87.6,1.0
8.35,-6.38,-1.49,89.21,0.881,71.71,82.85,87.55,1.0
8.4,-7.5,-1.5,89.22,0.884,72.29,82.7,87.49,1.0
8.45,-8.51,-1.49,89.24,0.888,72.9,82.58,86.33,1.0
8.5,-9.41,-1.47,89.26,0.892,73.55,82.47,86.31,1.0
8.55,-10.21,-1.44,89.29,0.896,74.24,82.38,86.28,1.0
8.6,-10.88,-1.4,89.33,0.9,74.96,82.31,86.24,1.0
8.65,-11.44,-1.34,89.37,0.905,75.7,82.26,86.19,1.0
8.7,-11.87,-1.28,89.41,0.909,76.47,82.23,86.13,1.0
8.75,-12.18,-1.2,89.46,0.914,77.26,82.21,85.03,1.0
8.8,-12.36,-1.11,89.52,0.919,78.06,82.22,85.02,1.0
8.85,-12.42,-1.02,89.58,0.923,78.87,82.24,85.0,1.0
8.9,-12.35,-0.91,89.64,0.928,79.68,82.28,84.97,1.0
8.95,-12.15,-0.8,89.7,0.933,80.49,82.33,84.94,1.0
9.0,-11.83,-0.68,89.76,0.938,81.29,82.39,84.9,1.0
9.05,-11.39,-0.56,89.83,0.943,82.08,82.47,84.85,1.0
9.1,-10.83,-0.43,89.9,0.948,82.85,82.56,84.8,1.0
9.15,-10.15,-0.3,89.96,0.953,83.59,82.67,84.75,1.0
9.2,-9.36,-0.17,90.03,0.957,84.31,82.78,84.7,1.0
9.25,-8.47,-0.03,90.09,0.962,84.99,82.9,84.64,1.0
9.3,-7.48,0.1,90.15,0.966,85.65,83.02,84.59,1.0
9.35,-6.4,0.24,90.21,0.97,86.26,83.15,84.54,1.0
9.4,-5.24,0.37,90.26,0.974,86.83,83.29,84.49,1.0
9.45,-4.0,0.5,90.31,0.978,87.36,83.42,84.44,1.0
9.5,-2.7,0.62,90.36,0.981,87.84,83.56,84.39,1.0
9.55,-1.35,0.74,90.4,0.984,88.29,83.7,84.35,1.0
9.6,0.05,0.85,90.44,0.987,88.69,83.84,84.31,1.0
9.65,1.48,0.95,90.47,0.99,89.04,83.97,84.27,1.0
9.7,2.92,1.05,90.49,0.992,89.36,84.11,84.24,1.0
9.75,4.37,1.14,90.51,0.994,89.64,84.24,84.21,1.0
9.8,5.8,1.22,90.52,0.996,89.88,84.37,84.18,1.0
9.85,7.22,1.29,90.53,0.998,90.09,84.49,84.16,1.0
9.9,8.6,1.35,90.53,1.0,90.27,84.6,84.15,1.0
9.95,9.93,1.4,90.53,1.001,90.42,84.72,84.13,1.0
10.0,11.2,1.43,90.52,1.002,90.56,84.82,84.13,1.0
10.05,12.39,1.46,90.5,1.003,90.68,84.93,84.12,1.0
10.1,13.49,1.47,90.48,1.005,90.79,85.02,84.12,1.0
10.15,14.49,1.47,90.45,1.006,90.89,85.11,84.13,1.0
10.2,15.37,1.45,90.42,1.007,90.99,85.2,84.13,1.0
10.25,16.13,1.43,90.39,1.008,91.1,85.28,84.15,1.0
10.3,16.76,1.39,90.34,1.01,91.22,85.36,84.16,1.0
10.35,17.24,1.34,90.3,1.011,91.35,85.44,84.18,1.0
10.4,17.57,1.27,90.25,1.013,91.49,85.51,84.2,1.0
10.45,17.74,1.19,90.19,1.015,91.66,85.58,84.22,1.0
10.5,17.74,1.1,90.14,1.017,91.86,85.64,84.25,1.0
10.55,17.58,0.99,90.07,1.02,92.08,85.71,84.28,1.0
10.6,17.25,0.88,90.01,1.022,92.33,85.77,84.31,1.0
10.65,16.75,0.75,89.94,1.025,92.61,85.84,84.34,1.0
10.7,16.08,0.6,89.87,1.029,92.92,85.91,84.38,1.0
10.75,15.25,0.45,89.79,1.032,93.26,85.97,84.42,1.0
10.8,14.25,0.28,89.71,1.036,93.63,86.04,84.45,1.0
10.85,13.09,0.11,89.63,1.04,94.02,86.11,84.5,1.0
10.9,11.78,-0.08,89.55,1.045,94.44,86.19,84.54,1.0
10.95,10.33,-0.27,89.46,1.049,94.88,86.27,84.58,1.0
11.0,8.75,-0.48,89.37,1.054,95.33,86.35,84.63,1.0
11.05,7.05,-0.69,89.27,1.059,95.8,86.44,84.68,1.0
11.1,5.24,-0.9,89.18,1.064,96.27,86.53,84.72,1.0
11.15,3.34,-1.12,89.08,1.069,96.74,86.62,84.77,1.0
11.2,1.36,-1.35,88.99,1.074,97.2,86.72,84.83,1.0
11.25,-0.69,-1.57,88.89,1.079,97.66,86.83,84.88,1.0
11.3,-2.78,-1.8,88.79,1.084,98.1,86.94,84.93,1.0
11.35,-4.9,-2.02,88.69,1.089,98.52,87.05,84.99,1.0
11.4,-7.04,-2.24,88.59,1.094,98.92,87.17,85.05,1.0
11.45,-9.18,-2.46,88.49,1.098,99.29,87.3,85.11,1.0
11.5,-11.3,-2.67,88.4,1.102,99.62,87.43,85.17,1.0
11.55,-13.38,-2.87,88.31,1.106,99.92,87.57,86.19,1.0
11.6,-15.4,-3.06,88.22,1.109,100.18,87.72,86.2,1.0
11.65,-17.36,-3.23,88.14,1.112,100.4,87.87,86.21,1.0
11.7,-19.24,-3.39,88.07,1.114,100.58,88.02,86.22,1.0
11.75,-21.01,-3.54,88.0,1.116,100.71,88.19,86.25,1.0
11.8,-22.67,-3.66,87.94,1.117,100.79,88.36,86.28,1.0
11.85,-24.2,-3.76,87.89,1.118,100.83,88.54,86.31,1.0
11.9,-25.6,-3.84,87.85,1.118,100.83,88.72,86.35,1.0
11.95,-26.84,-3.9,87.82,1.118,100.78,88.92,86.39,1.0
12.0,-27.93,-3.92,87.81,1.116,100.68,89.12,86.44,1.0
12.05,-28.85,-3.92,87.81,1.115,100.55,89.33,86.5,1.0
12.1,-29.59,-3.89,87.82,1.113,100.37,89.55,86.56,1.0
12.15,-30.16,-3.83,87.85,1.11,100.16,89.77,87.61,1.0
12.2,-30.54,-3.74,87.89,1.107,99.91,90.0,87.62,1.0
12.25,-30.74,-3.62,87.96,1.103,99.63,90.24,87.63,1.0
12.3,-30.74,-3.47,88.04,1.099,99.32,90.49,87.66,1.0
12.35,-30.56,-3.28,88.13,1.095,98.99,90.75,87.7,1.0
12.4,-30.19,-3.07,88.25,1.09,98.63,91.01,87.74,1.0
12.45,-29.63,-2.82,88.38,1.085,98.25,91.28,87.8,1.0
12.5,-28.89,-2.55,88.53,1.08,97.87,91.56,87.86,1.0
12.55,-27.97,-2.25,88.69,1.074,97.47,91.84,88.97,1.0
12.6,-26.88,-1.92,88.87,1.069,97.06,92.12,88.98,1.0
12.65,-25.62,-1.57,89.07,1.063,96.65,92.41,89.01,1.0
12.7,-24.2,-1.2,89.27,1.057,96.25,92.7,89.04,1.0
12.75,-22.63,-0.81,89.49,1.052,95.84,92.98,89.09,1.0
12.8,-20.92,-0.4,89.72,1.046,95.45,93.27,89.15,1.0
12.85,-19.08,0.01,89.96,1.04,95.06,93.56,90.23,1.0
12.9,-17.12,0.44,90.21,1.035,94.69,93.84,90.24,1.0
12.95,-15.04,0.86,90.46,1.029,94.33,94.11,90.27,1.0
13.0,-12.87,1.29,90.71,1.024,93.98,94.37,90.31,1.0
13.05,-10.61,1.72,90.96,1.019,93.65,94.63,90.36,1.0
13.1,-8.28,2.14,91.21,1.014,93.33,94.87,91.38,1.0
13.15,-5.88,2.55,91.45,1.009,93.03,95.1,91.39,1.0
13.2,-3.43,2.94,91.69,1.004,92.74,95.31,91.42,1.0
13.25,-0.95,3.31,91.91,1.0,92.46,95.51,91.46,1.0
13.3,1.55,3.66,92.13,0.995,92.19,95.68,91.51,1.0
13.35,4.06,3.99,92.33,0.991,91.92,95.83,92.52,1.0
13.4,6.56,4.28,92.51,0.988,91.66,95.96,92.53,1.0
13.45,9.04,4.54,92.67,0.984,91.4,96.07,92.56,1.0
13.5,11.49,4.76,92.82,0.981,91.14,96.15,92.59,1.0
13.55,13.89,4.95,92.94,0.977,90.89,96.2,92.64,1.0
13.6,16.22,5.1,93.03,0.974,90.63,96.22,92.69,1.0
13.65,18.48,5.2,93.1,0.972,90.36,96.21,92.76,1.0
13.7,20.64,5.26,93.15,0.969,90.09,96.17,93.84,1.0
13.75,22.69,5.28,93.17,0.967,89.83,96.11,93.85,1.0
13.8,24.63,5.26,93.16,0.965,89.55,96.01,93.86,1.0
13.85,26.43,5.19,93.13,0.963,89.28,95.88,93.88,1.0
13.9,28.08,5.07,93.07,0.962,89.02,95.73,93.91,1.0
13.95,29.57,4.92,92.98,0.96,88.75,95.55,93.94,1.0
14.0,30.89,4.72,92.87,0.96,88.51,95.34,93.97,1.0
14.05,32.03,4.48,92.73,0.959,88.27,95.11,94.01,1.0
14.1,32.97,4.21,92.57,0.959,88.07,94.85,94.04,1.0
14.15,33.71,3.91,92.4,0.96,87.89,94.58,94.07,1.0
14.2,34.24,3.57,92.2,0.961,87.74,94.3,94.09,1.0
14.25,34.54,3.21,91.99,0.962,87.64,93.99,94.12,1.0
14.3,34.62,2.83,91.76,0.964,87.6,93.68,94.14,1.0
14.35,34.46,2.43,91.52,0.966,87.61,93.37,94.15,1.0
14.4,34.07,2.01,91.27,0.969,87.68,93.05,94.16,1.0
14.45,33.44,1.58,91.02,0.973,87.83,92.73,94.16,1.0
14.5,32.56,1.14,90.76,0.977,88.06,92.42,94.15,1.0
14.55,31.45,0.7,90.51,0.982,88.36,92.12,94.14,1.0
14.6,30.1,0.27,90.25,0.988,88.76,91.83,94.12,1.0
14.65,28.52,-0.16,90.0,0.994,89.24,91.56,94.09,1.0
14.7,26.71,-0.58,89.75,1.001,89.8,91.31,94.06,1.0
14.75,24.68,-0.98,89.52,1.009,90.45,91.09,94.01,1.0
14.8,22.44,-1.37,89.3,1.017,91.18,90.89,93.96,1.0
14.85,20.0,-1.73,89.09,1.026,91.99,90.72,93.91,1.0
14.9,17.38,-2.07,88.89,1.036,92.87,90.58,92.91,1.0
14.95,14.58,-2.39,88.71,1.046,93.8,90.48,92.9,1.0
15.0,11.64,-2.67,88.55,1.057,94.79,90.42,92.88,1.0
15.05,8.55,-2.92,88.41,1.069,95.82,90.39,92.85,1.0
15.1,5.35,-3.14,88.3,1.08,96.87,90.4,92.82,1.0
15.15,2.06,-3.33,88.2,1.092,97.94,90.45,92.78,1.0
15.2,-1.31,-3.48,88.12,1.105,99.01,90.53,92.74,1.0
15.25,-4.73,-3.6,88.06,1.117,100.08,90.66,92.7,1.0
15.3,-8.18,-3.68,88.03,1.13,101.12,90.81,92.65,1.0
15.35,-11.63,-3.72,88.01,1.142,102.14,91.01,92.6,1.0
15.4,-15.06,-3.74,88.01,1.154,103.13,91.23,92.56,1.0
15.45,-18.44,-3.72,88.03,1.166,104.06,91.49,92.51,1.0
15.5,-21.76,-3.67,88.07,1.178,104.95,91.77,92.47,1.0
15.55,-24.98,-3.59,88.13,1.189,105.78,92.08,92.43,1.0
15.6,-28.09,-3.48,88.2,1.199,106.55,92.4,92.39,1.0
15.65,-31.05,-3.35,88.28,1.208,107.25,92.75,92.37,1.0
15.7,-33.86,-3.2,88.37,1.217,107.88,93.12,92.34,1.0
15.75,-36.48,-3.02,88.47,1.224,108.44,93.49,92.33,1.0
15.8,-38.9,-2.83,88.58,1.231,108.92,93.88,92.32,1.0
15.85,-41.1,-2.62,88.7,1.236,109.32,94.27,92.32,1.0
15.9,-43.06,-2.4,88.82,1.24,109.64,94.66,92.33,1.0
15.95,-44.78,-2.17,88.95,1.242,109.88,95.06,92.35,1.0
16.0,-45.0,-1.94,89.07,1.243,110.03,95.45,92.38,1.0
16.05,-45.0,-1.7,89.2,1.243,110.1,95.84,92.42,1.0
16.1,-45.0,-1.46,89.33,1.241,110.08,96.22,92.47,1.0
16.15,-45.0,-1.21,89.45,1.238,109.97,96.59,92.53,1.0
16.2,-45.0,-0.97,89.57,1.234,109.78,96.95,93.64,1.0
16.25,-45.0,-0.73,89.68,1.228,109.49,97.29,93.65,1.0
16.3,-45.0,-0.5,89.79,1.221,109.11,97.62,93.68,1.0
16.35,-45.0,-0.28,89.9,1.212,108.63,97.92,93.72,1.0
16.4,-45.0,-0.06,90.0,1.203,108.07,98.21,93.78,1.0
16.45,-45.0,0.15,90.09,1.192,107.41,98.48,94.83,1.0
16.5,-45.0,0.35,90.18,1.18,106.65,98.72,94.84,1.0
16.55,-43.83,0.53,90.27,1.168,105.81,98.94,94.87,1.0
16.6,-42.01,0.71,90.35,1.154,104.87,99.14,94.91,1.0
16.65,-39.97,0.88,90.42,1.14,103.85,99.31,94.97,1.0
16.7,-37.73,1.04,90.49,1.126,102.74,99.45,96.01,1.0
16.75,-35.3,1.18,90.55,1.111,101.55,99.57,96.03,1.0
16.8,-32.69,1.32,90.61,1.096,100.28,99.66,96.05,1.0
16.85,-29.92,1.44,90.67,1.081,98.95,99.73,96.09,1.0
16.9,-27.02,1.56,90.73,1.066,97.55,99.76,96.14,1.0
16.95,-24.0,1.66,90.78,1.051,96.1,99.78,96.2,1.0
17.0,-20.88,1.76,90.83,1.036,94.61,99.76,97.2,1.0
17.05,-17.68,1.85,90.89,1.021,93.09,99.72,97.21,1.0
17.1,-14.42,1.93,90.94,1.007,91.55,99.65,97.23,1.0
17.15,-11.12,2.0,90.99,0.993,89.99,99.56,97.26,1.0
17.2,-7.79,2.07,91.04,0.979,88.43,99.45,97.29,1.0
17.25,-4.45,2.13,91.09,0.966,86.89,99.31,97.32,1.0
17.3,-1.12,2.18,91.14,0.954,85.36,99.15,97.36,1.0
17.35,2.19,2.23,91.2,0.942,83.87,98.96,97.4,1.0
17.4,5.46,2.27,91.25,0.93,82.4,98.76,97.44,1.0
17.45,8.67,2.3,91.3,0.92,80.98,98.53,97.48,1.0
17.5,11.82,2.33,91.35,0.91,79.6,98.29,97.52,1.0
17.55,14.88,2.35,91.4,0.9,78.28,98.02,97.55,1.0
17.6,17.86,2.36,91.45,0.891,77.0,97.74,97.58,1.0
17.65,20.73,2.36,91.49,0.883,75.77,97.43,97.61,1.0
17.7,23.5,2.36,91.53,0.874,74.58,97.11,97.63,1.0
17.75,26.14,2.35,91.57,0.867,73.45,96.77,97.65,1.0
17.8,28.66,2.33,91.6,0.86,72.35,96.42,97.66,1.0
17.85,31.04,2.3,91.63,0.853,71.3,96.04,97.66,1.0
17.9,33.28,2.26,91.65,0.847,70.28,95.65,97.65,1.0
17.95,35.37,2.21,91.66,0.841,69.29,95.25,97.64,1.0
18.0,37.31,2.15,91.66,0.835,68.33,94.82,97.61,1.0
18.05,39.09,2.08,91.66,0.83,67.4,94.38,97.58,1.0
18.1,40.71,2.0,91.64,0.825,66.49,93.92,97.54,1.0
18.15,42.16,1.91,91.62,0.82,65.6,93.44,97.48,1.0
18.2,43.44,1.81,91.58,0.815,64.73,92.95,96.43,1.0
18.25,44.55,1.7,91.54,0.811,63.87,92.44,96.41,1.0
18.3,45.0,1.58,91.49,0.807,63.04,91.92,96.38,1.0
18.35,45.0,1.45,91.42,0.803,62.23,91.38,96.34,1.0
18.4,45.0,1.31,91.35,0.8,61.44,90.83,95.33,1.0
18.45,45.0,1.17,91.27,0.796,60.67,90.27,95.31,1.0
18.5,45.0,1.02,91.18,0.793,59.94,89.69,95.27,1.0
18.55,45.0,0.87,91.08,0.791,59.24,89.11,95.21,1.0
18.6,45.0,0.71,90.98,0.788,58.58,88.52,93.97,1.0
18.65,45.0,0.55,90.87,0.786,57.97,87.92,93.95,1.0
18.7,45.0,0.38,90.75,0.784,57.4,87.32,93.9,1.0
18.75,45.0,0.22,90.63,0.783,56.9,86.71,92.79,1.0
